DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
8/23/2025,TYSON FRESH MEATS,AR-LIT,IL-CHI,662.83,1717.35,1422.6,920.4
8/23/2025,Menards Distribution Center,NE-OMA,IA-DES,135.67,285.3,348.03,502.86
8/23/2025,CH ROBINSON,NC-GBO,LA-NO,795.36,1677,1430.86,1192.27
8/23/2025,MIDLAND DAVIS CORPORATION,AL-BIR,MS-JAC,130.03,650,928.53,1026.61
8/23/2025,TYSON FRESH MEATS,IA-SIO,IL-CHI,447.78,1613.55,913.26,661.33
8/23/2025,TYSON FRESH MEATS,IA-SIO,IL-CHI,488.05,1738.59,1044.69,747.31
8/23/2025,CH ROBINSON,IN-EVA,VA-RIC,659.52,1800,1276.62,1486.79
8/23/2025,QUAD TRANSPORTATION SERVICES,WI-MIL,IA-DES,496.51,1261.54,747.8,640.72
8/23/2025,CASEYS DIST CENTER,MI-GRA,IN-IND,321.13,1384.53,713.23,523.87
8/23/2025,QUAD TRANSPORTATION SERVICES,WI-MIL,IA-DES,362.88,841.28,554.36,681.06
8/23/2025,CH ROBINSON,IN-EVA,LA-NO,812.15,2365,1238.01,958.77
8/23/2025,ESSENTIA PROTEIN SOLUTIONS,OK-OKC,NE-OMA,527.76,1681.12,1037.03,897.31
8/23/2025,ESSENTIA PROTEIN SOLUTIONS,OH-FIN,IA-DES,672.79,1525.89,1044.4,687.8
8/23/2025,ESSENTIA PROTEIN SOLUTIONS,WI-APP,IA-DES,455.6,2082.05,1018.32,672.87
8/23/2025,TYSON FRESH MEATS,NE-OMA,TX-DAL,659.72,2286.73,1156.71,886.19
8/23/2025,ESSENTIA PROTEIN SOLUTIONS,GA-ATL,NE-OMA,1028.5,2124.28,1551.9,1244.6
8/23/2025,ECHO GLOBAL LOGISTICS,PA-SCR,KY-LOU,673.15,1150,1026.11,632.78
8/23/2025,BUD ANTLE - DOLE FRESH VEGETABLES,MI-LAN,NC-CHA,610.36,2601.92,1096.66,1233.69
8/23/2025,ATLAS ROOFING,TX-TYL,KS-WIC,582.3,1158.11,1093.45,830.99
8/23/2025,Hormel Foods,MN-MAN,KS-WIC,559.45,1481.35,966.24,728.68
8/23/2025,CH ROBINSON,AZ-TUC,IL-CHA,1515.11,2790,2397.16,1722.63
8/23/2025,ARRIVE LOGISTICS,TX-DAL,GA-COL,703.67,1800,1465.78,1441.9
8/23/2025,Hormel Foods,TX-TYL,IA-DES,706.59,1295,1289.62,1063.16
8/23/2025,AMERICAN SUGAR REFINING INC ASR GROUP,FL-JAC,LA-NO,542.31,1130.91,1090.72,806.62
8/23/2025,CH ROBINSON,IL-CHI,MN-MAN,447.86,900,767.34,575.55
8/23/2025,CAMPBELLS SOUP CO,TX-DAL,TX-AMA,314.76,869.48,487.07,463.71
8/23/2025,ATLAS ROOFING,TX-TYL,IA-DES,692.17,1464.11,1052,1026.17
8/23/2025,TYSON FRESH MEATS,MO-KAN,GA-MAC,901.06,2868.77,1321.34,929.6
8/23/2025,Hormel Foods,IA-DES,OH-DAY,543.44,1407.15,847.28,716.8
8/23/2025,TYSON FRESH MEATS,IA-SIO,TX-DAL,690.45,2406.18,1461.56,1233.59
8/23/2025,"Anheuser-Busch, Inc.",GA-ATL,KY-LEX,333.76,638.5,597.48,713.09
8/23/2025,CAMPBELLS SOUP CO,OH-FIN,IL-PEO,490.4,1050.71,766.86,694.35
8/23/2025,CH ROBINSON,AR-FAY,OH-DAY,733.59,1385,1420.05,887.71
8/23/2025,CH ROBINSON,MO-KAN,MN-MIN,459.62,810,786.34,583.61
8/23/2025,KRAFT HEINZ COMPANY,IA-MC,OH-COL,718.89,2338.13,1279.59,1341.38
8/23/2025,CAMPBELLS SOUP CO,OH-TOL,NE-KEA,950.69,1884.4,1400.98,1070.67
8/23/2025,Hormel Foods,IA-DES,TN-MEM,652.61,1536.6,1349.79,1234.89
8/23/2025,MOLO SOLUTIONS,IL-CHI,IA-WAT,234.39,825,417.64,695.84
8/23/2025,CAMPBELLS SOUP CO,TX-DAL,CO-DEN,798.29,1918.94,1183.97,908.55
8/23/2025,CH ROBINSON SUNNY D,TX-DAL,MO-KAN,409.41,1046.3,699.69,661.21
8/23/2025,LINEAGE LOGISTICS LLC,CO-DEN,NV-REN,1032.29,1950.46,1568.17,1388.47
8/23/2025,AVENUE LOGISTICS,CO-DEN,SD-SIO,583.68,700,1042.08,722.23
8/23/2025,CAMPBELLS SOUP CO,TX-DAL,KS-WIC,365.85,1045.79,543.73,587.51
8/23/2025,TYSON FRESH MEATS,IA-SIO,NE-KEA,310.8,1185.84,720.12,548.79
8/23/2025,TYSON FRESH MEATS,NE-OMA,CO-DEN,508.41,1741.94,884.04,759.31
8/23/2025,CAMPBELLS SOUP CO,NC-RAL,OH-FIN,606.05,1533.46,1116.62,1131.24
8/23/2025,CH ROBINSON,WI-APP,MO-JOP,735.95,1712.32,1120.24,966.06
8/23/2025,BARILLA AMERICA INC,IA-DES,IA-SIO,153.26,591.06,441.22,281.65
8/23/2025,HY-VEE FOOD STORES,IL-CHI,IA-DES,326.24,1163.25,562.91,703.23
8/23/2025,COLGATE,OH-COL,CO-DEN,1372.06,3565.45,2427.62,1630.43
8/23/2025,AMERICAN SUGAR REFINING INC ASR GROUP,FL-MIA,NC-CHA,676.35,1246.97,1089.12,1224.67
8/23/2025,SAPUTO,AL-HUN,PA-PHI,866.05,2211.22,1484.61,2170.7
8/23/2025,CH ROBINSON SUNNY D,TX-DAL,NE-KEA,707.15,1656.95,1025.15,1025.84
8/23/2025,WALMART,PA-PHI,IN-IND,668.7,1285.06,1186.7,1092.98
8/23/2025,CAMPBELLS SOUP CO,OH-FIN,IA-SIO,716.7,1385.96,1180.46,708.07
8/23/2025,"Anheuser-Busch, Inc.",GA-ATL,KY-LEX,333.76,638.5,560.12,411.17
8/23/2025,DREYER'S GRAND ICE CREAM,IN-IND,MO-KAN,528.3,1258.99,904.23,842.36
8/23/2025,WALMART,NE-OMA,UT-SLC,973.27,2046.47,1821.12,1495.93
8/23/2025,WELLS ENTERPRISES INC,IA-SIO,WV-WHL,931.3,3268.31,1493.16,1068.45
8/23/2025,DECKER LOGISTICS,NC-GBO,MN-MAN,1164.6,1600,1936.87,1598.39
8/23/2025,WELLS ENTERPRISES INC,IA-SIO,CO-DEN,543.58,2020.62,948.24,922.61
8/23/2025,JBS/SWIFT & COMPANY,IA-DES,NC-RAL,1124.18,4456.86,1713.32,2140.86
8/23/2025,SEABOARD FOODS - LLC,IA-SIO,WI-APP,547.88,2278.52,883.51,744.16
8/23/2025,TYSON FRESH MEATS,NE-KEA,LA-NO,1223.2,4689.28,1865.78,1466.09
8/23/2025,WHOLESTONE FARMS COOPERATIVE INC,NE-OMA,OK-OKC,501.96,1343.71,1308.81,1113.66
8/23/2025,BARILLA AMERICA INC,IA-DES,MN-MIN,151.91,665.3,378.92,475.49
8/23/2025,BUD ANTLE - DOLE FRESH VEGETABLES,MI-LAN,NC-CHA,610.36,2101.92,982.1,789.84
8/23/2025,WELLS ENTERPRISES INC,IA-SIO,LA-NO,1118.89,3826,1685.41,1340.05
8/23/2025,KRAFT HEINZ COMPANY,GA-ATL,MS-JAC,379.16,1029.08,611.08,822.75
8/23/2025,MONSTER,MN-MIN,IA-DES,310.21,900,528.58,655.11
8/23/2025,MOLSON COORS BEVERAGE CO USA LLC,OH-CIN,SD-SIO,851.13,1848.7,1323.24,1221.63
8/23/2025,HY-VEE FOOD STORES,OH-COL,IA-DES,682.86,1530.5,1092.56,1066.28
8/23/2025,ROAR LOGISTICS INC,IL-CHI,GA-ATL,894.62,2150,1380.14,1239.32
8/23/2025,ROAR LOGISTICS INC,IL-CHI,GA-ATL,768.34,2150,1148.09,986.96
8/23/2025,KROGER KMA - RETAIL,NY-BUF,WI-MIL,690.32,1296,1147.32,1541.42
8/23/2025,TYSON FRESH MEATS,IA-SIO,TX-DAL,690.45,2406.18,1362.02,1151.62
8/23/2025,TYSON FRESH MEATS,WA-KEN,IA-WAT,1653.16,4087.03,3120.25,1697.86
8/23/2025,DREYER'S GRAND ICE CREAM,SC-COL,FL-MIA,567.84,2072.61,1014.64,1300.17
8/23/2025,SAPUTO,NY-BUF,FL-TAM,1469.79,3807.4,2449.66,1993.78
8/23/2025,WALMART,NC-CHA,MO-KAN,1008.74,1995.79,1597.93,1445.14
8/23/2025,Rainier Fruit Co,WA-KEN,MI-DET,2293.88,5597,3821.48,2538.68
8/23/2025,CH ROBINSON,LA-LAF,IL-CHI,946.31,1510.6,1608.68,1234.78
8/23/2025,CASEYS DIST CENTER,OH-COL,MO-JOP,704.84,1627.74,1116.97,1181.59
8/23/2025,CASEYS DIST CENTER,NJ-NEW,IA-DES,1092.7,2311.27,1750.62,1397.16
8/22/2025,UNITED STATES GYPSUM,NE-OMA,IA-DES,214.33,736.86,594.86,311.74
8/22/2025,TYSON FRESH MEATS,KS-WIC,IA-SIO,489.27,1426.39,1138.95,704.18
8/22/2025,MONSTER,MN-MIN,IA-DES,327.91,900,619.93,520.6
8/22/2025,Menards Distribution Center,IA-WAT,IA-DES,137.31,383.05,200.21,130.57
8/22/2025,CH ROBINSON,MO-KAN,CO-DEN,603.31,1600,906.67,697.55
8/22/2025,ESSENTIA PROTEIN SOLUTIONS,WI-APP,IA-DES,455.6,2082.05,849.48,691.08
8/22/2025,ESSENTIA PROTEIN SOLUTIONS,OH-FIN,IA-DES,672.79,1525.89,1258.21,886.21
8/22/2025,NESTLE PURINA PET CARE,IA-DES,WI-MIL,329.54,1600,839.08,795.51
8/22/2025,CH ROBINSON,IN-IND,TN-CHT,524.57,1392,856.54,702.97
8/22/2025,ATLAS ROOFING,TX-TYL,IA-DES,805.67,1728,1453.78,1103.8
8/22/2025,TYSON FRESH MEATS,IA-SIO,MO-KAN,279.65,1107.63,410.51,136.49
8/22/2025,Hormel Foods,MN-MAN,IL-CHI,329.69,817.87,546.52,595.81
8/22/2025,TYSON FRESH MEATS,IL-CHI,TX-DAL,956.57,2637.91,1431.81,930.85
8/22/2025,CH ROBINSON,MO-SPR,TX-SAN,691.04,1400,1101.89,911.68
8/22/2025,CH ROBINSON,MO-KAN,IL-CHI,519.09,840,788.72,631.42
8/22/2025,ARRIVE LOGISTICS,MO-KAN,IA-DAV,381.6,860,560,465.42
8/22/2025,ARRIVE LOGISTICS,MO-KAN,AR-LIT,444.12,1050,684.01,473.51
8/22/2025,MOLO SOLUTIONS,NC-CHA,IN-FTW,547.21,983,945.33,763.45
8/22/2025,CH ROBINSON,NJ-NEW,MI-DET,616,1672.27,904.83,1083.28
8/22/2025,ECHO GLOBAL LOGISTICS,VA-ROA,MO-KAN,1065.09,1500,1743.91,1200.71
8/22/2025,CH ROBINSON,AZ-PHO,UT-SLC,671.18,1583,973.13,1129.92
8/22/2025,CH ROBINSON,VA-HAR,TX-DAL,1203.73,1755,2439.8,1211.25
8/22/2025,CH ROBINSON,MO-KAN,AL-MOB,832.77,1600,1240.39,887.71
8/22/2025,CH ROBINSON,MO-KAN,GA-ATL,820.76,1600,1275.31,1136.91
8/22/2025,ARRIVE LOGISTICS,NC-CHA,PA-PHI,510.23,1300,744.11,599.96
8/22/2025,TIP TOP POULTRY,GA-ATL,OH-CLE,686.71,1593.14,1074.15,1085.87
8/22/2025,AMERICAN SUGAR REFINING INC ASR GROUP,FL-JAC,LA-NO,542.31,1130.91,894.08,722.03
8/22/2025,CH ROBINSON,KS-TOP,MD-BAL,1239.2,3335,1968.23,1722.99
8/22/2025,TYSON FRESH MEATS,TN-MEM,IL-CHI,476.4,1394.05,855.83,743.18
8/22/2025,CH ROBINSON,MO-KAN,TN-NAS,579.11,1040,1055.09,1231.07
8/22/2025,CH ROBINSON,MO-KAN,AL-MON,856.39,1430,1547.09,1188.36
8/22/2025,CH ROBINSON,MO-JOP,GA-ATL,729.57,2227.5,1088.82,808.79
8/22/2025,KRAFT HEINZ COMPANY,IA-MC,IL-CHI,350.54,1176.64,807.43,804.54
8/22/2025,ECHO GLOBAL LOGISTICS,TN-JAC,IA-DAV,545.05,1200,899.13,1828.1
8/22/2025,MOLO SOLUTIONS,TX-DAL,GA-ATL,758.22,1962.5,1328.23,1270.99
8/22/2025,AVENUE LOGISTICS,WI-MIL,OH-CIN,374.9,850,554.54,627.87
8/22/2025,CH ROBINSON,IN-IND,LA-LAF,905.16,2145,1577.08,1344.66
8/22/2025,ECHO GLOBAL LOGISTICS,AZ-PHO,TX-DAL,1064.03,2200,1554.15,1040.76
8/22/2025,ATLAS ROOFING,TX-TYL,NE-OMA,639.07,1444.78,1296.51,1330.95
8/22/2025,ATLAS ROOFING,TX-TYL,NE-LIN,656.21,1487.81,1326.92,1375.67
8/22/2025,ARRIVE LOGISTICS,TX-SAN,AL-HUN,921.04,2250,1581.06,1328.96
8/22/2025,ATLAS ROOFING,TX-TYL,IA-DES,699.12,1483.98,1374.91,1323.71
8/22/2025,ATLAS ROOFING,TX-TYL,NE-OMA,709.3,1578.28,1406.63,1483.78
8/22/2025,SEABOARD FOODS - LLC,OK-OKC,NE-LIN,426.17,1862.28,859.1,659.25
8/22/2025,AMERICAN SUGAR REFINING INC ASR GROUP,FL-JAC,LA-NO,542.31,1130.91,1224.71,801.39
8/22/2025,JM SMUCKER LLC,AL-HUN,IL-CHI,563.16,1096.59,1096.13,849.28
8/22/2025,TYSON FRESH MEATS,MO-KAN,IL-CHI,489.8,1264.79,791.21,548.72
8/22/2025,Hormel Foods,KS-WIC,IA-DES,416.74,854.56,663.16,359.89
8/22/2025,Hormel Foods,KS-WIC,IA-DES,403.36,856.74,720.71,815.61
8/22/2025,Hormel Foods,KS-WIC,IA-DES,403.36,856.74,870.38,832.45
8/22/2025,ARRIVE LOGISTICS,GA-ALB,NC-GBO,504.65,735,732,834.08
8/22/2025,ARRIVE LOGISTICS,AZ-PHO,CO-DEN,834.49,2970.2,2115.16,1195.75
8/22/2025,ROAR LOGISTICS INC,PA-PIT,GA-SAV,815.4,2400,1303.23,1132.27
8/22/2025,Hormel Foods,MN-MAN,ID-BOI,1441.63,3894.1,2291.5,1814.16
8/22/2025,CH ROBINSON,CA-LOS,TX-TYL,1534.61,3180,2506.55,1892.94
8/22/2025,CH ROBINSON,IA-MC,OH-COL,814.18,1278.21,1180.11,1065.6
8/22/2025,NESTLE PURINA PET CARE,NE-LIN,MN-MIN,463.03,1078.89,714.3,540.67
8/22/2025,TYSON FRESH MEATS,NE-KEA,UT-SLC,745.97,2358.48,1173.75,951.6
8/22/2025,ARRIVE LOGISTICS,FL-MIA,GA-ATL,674.33,900,1016.31,1011.36
8/22/2025,CH ROBINSON,TX-DAL,IL-PEO,813.73,1500,1415.18,1471.45
8/22/2025,DREYER'S GRAND ICE CREAM,IN-FTW,GA-ALB,870.58,2758.68,1261.77,920.83
8/22/2025,Hormel Foods,TN-MEM,SC-GRE,541.88,1672.65,892.77,1077.4
8/22/2025,Hormel Foods,IA-DES,OH-DAY,543.44,1407.15,927.34,910.62
8/22/2025,TOOTSIE ROLL INDUSTRIES,TN-MEM,TX-DAL,502.73,1310.97,803.03,868.11
8/22/2025,JM SMUCKER LLC,AL-HUN,IL-CHI,563.16,1096.59,823.7,590.94
8/22/2025,TIP TOP POULTRY,GA-ATL,AR-FAY,700.53,1452.62,1077.78,674.08
8/22/2025,TOOTSIE ROLL INDUSTRIES,TN-MEM,MI-DET,738.25,2278.28,1144,1079.13
8/22/2025,BOEHRINGER INGELHEIM ANIMAL HEALTH INC,GA-ATL,TX-DAL,859.12,2486.27,1277.03,1124.24
8/22/2025,OTR TRANSPORTATION LLC,AZ-PHO,OR-POR,1316.87,3195,1913.23,1433.82
8/22/2025,CAMPBELLS SOUP CO,NC-RAL,OH-FIN,606.05,1348.73,1059.36,1315
8/22/2025,TYSON FRESH MEATS,IA-SIO,NE-KEA,310.8,1185.84,474.72,352.72
8/22/2025,Hormel Foods,IA-DES,TN-MEM,652.61,1536.6,1250.37,1358.35
8/22/2025,ECHO GLOBAL LOGISTICS,AZ-PHO,OR-POR,1335.21,3200,2049.83,1921.72
8/22/2025,COLGATE,OH-COL,IL-CHI,454.77,884.25,903.64,1017.74
8/22/2025,WELLS ENTERPRISES INC,IA-SIO,MO-STL,515.7,2350.08,1226.19,1270.99
8/22/2025,DIAGEO - DHL,IL-CHI,SD-SIO,582.13,1200.87,891.35,619.12
8/22/2025,CH ROBINSON,OH-COL,IA-MC,704.28,1433.37,1292.24,948.56
8/22/2025,AVENUE LOGISTICS,IL-CHI,TX-DAL,890.82,2000,1357.39,1097.05
8/22/2025,CH ROBINSON,WI-APP,MO-JOP,701.1,1712.32,1165.91,970.2
8/22/2025,CH ROBINSON,WI-APP,MO-JOP,735.95,1712.32,1313.5,1361.48
8/22/2025,SFC GLOBAL SUPPLY CHAIN INC,IL-CHI,MO-JOP,579.88,1563.25,957.98,985.57
8/22/2025,SFC GLOBAL SUPPLY CHAIN INC,IL-CHI,OH-CIN,325.83,1267.53,598.78,614.65
8/22/2025,KRAFT HEINZ COMPANY,IA-MC,OH-COL,718.89,2332.02,1208.02,1167.43
8/22/2025,TYSON FRESH MEATS,TN-MEM,IL-CHI,456.38,1409.8,1081.93,1271.43
8/22/2025,TRICONT LOGISTICS,TX-HOU,NE-KEA,1041.7,2132,1653.4,1604.82
8/22/2025,TYSON FRESH MEATS,WA-KEN,NV-LAS,1053.09,3021.72,1886.51,1199.23
8/22/2025,ALLEN LUND,OR-POR,IA-WAT,1889.26,3650,2800.42,2155.42
8/22/2025,TRICONT LOGISTICS,TX-HOU,CO-DEN,1178.2,3018.65,1811.08,1551.78
8/22/2025,WELLS ENTERPRISES INC,IA-SIO,NY-BUF,1016.22,3692.03,1573.81,991.81
8/22/2025,Hormel Foods,WI-MAD,MO-KAN,532.25,1255,813.6,669.29
8/22/2025,USG CORPORATION,IA-DES,IA-WAT,102.14,759.29,628.3,746.73
8/22/2025,USG CORPORATION,IA-DES,OH-COL,706.57,2373.69,1249.83,1542.83
8/22/2025,USG CORPORATION,IA-DES,IL-CHI,285.18,1285.83,553.59,746.44
8/22/2025,BARILLA AMERICA INC,IA-DES,IA-SIO,153.26,591.06,224.38,116.65
8/22/2025,TOOTSIE ROLL INDUSTRIES,IL-CHI,PA-HAR,849.92,3548.46,1484.73,1671.5
8/22/2025,CH ROBINSON SUNNY D,TX-DAL,LA-NO,516.21,1462.85,748.75,641.13
8/22/2025,TYSON FRESH MEATS,IA-WAT,TX-DAL,762.75,2606.04,1118.16,726.69
8/22/2025,DREYER'S GRAND ICE CREAM,MD-BAL,IN-FTW,540.7,1243.39,1111.69,1192.11
8/22/2025,TYSON FRESH MEATS,IA-WAT,GA-ATL,946.21,3420.44,1579.45,1564.69
8/22/2025,TYSON FRESH MEATS,IL-CHI,NJ-NEW,883.45,3658.58,1669.31,1710.8
8/22/2025,SEABOARD FOODS - LLC,MO-KAN,UT-SLC,1026.19,3438.21,1924.34,1794.14
8/22/2025,TIP TOP POULTRY,GA-ATL,IN-IND,528.54,1428.22,877.21,1040.76
8/22/2025,WELLS ENTERPRISES INC,IA-SIO,NY-BUF,1018.48,3687.55,1813.58,1386.57
8/22/2025,Hormel Foods,IA-DES,TN-MEM,775.07,3791,1215.03,1232.5
8/22/2025,WELLS ENTERPRISES INC,IA-SIO,TX-LUB,861.84,3418.78,1299.19,968.16
8/22/2025,KROGER KMA - RETAIL,NE-LIN,IN-FTW,708.4,1461.24,1699.31,1460.56
8/22/2025,ECHO GLOBAL LOGISTICS,IL-CHI,IA-DES,316.75,800,747.14,596.91
8/22/2025,TYSON FRESH MEATS,IN-IND,OH-FIN,141.59,764.46,345.42,458.01
8/22/2025,CAMPBELLS SOUP CO,OH-TOL,NE-KEA,961.05,1951.03,1451.88,1534.17
8/22/2025,Hormel Foods,TX-DAL,AZ-PHO,1069.79,2219.8,1941.39,1884.7
8/22/2025,CH ROBINSON,GA-ATL,IN-IND,606.77,1166.66,1095.41,1120.49
8/22/2025,BARILLA AMERICA INC,IA-DES,MO-KAN,254.4,1369.98,422.33,660.8
8/22/2025,ARRIVE LOGISTICS,CO-DEN,MN-MIN,860.88,1368.05,1431.93,1407.44
8/22/2025,BARILLA AMERICA INC,IA-DES,WI-MIL,322.79,924.92,754.86,926.32
8/22/2025,BARILLA AMERICA INC,IA-DES,WI-MIL,322.79,1019.92,577.11,481.79
8/22/2025,CH ROBINSON SUNNY D,CA-LOS,WA-KEN,1074.07,2956.23,1880.63,1844.55
8/22/2025,RESERS FINE FOODS,KS-TOP,TX-HOU,723.92,2533.21,1291.94,1074.41
8/22/2025,ARRIVE LOGISTICS,IN-IND,IA-SIO,642.2,1100,1288.61,1113.05
8/22/2025,KWIK TRIP INC,TX-HOU,WI-LAC,1265.7,2125,1932.3,1176.45
8/22/2025,CH ROBINSON,PA-PHI,IL-PEO,988.06,1851.72,1572.51,1847.85
8/22/2025,MONSTER,MN-MIN,IA-DES,310.21,900,655.27,657.28
8/22/2025,BARILLA AMERICA INC,IA-DES,IN-FTW,508.3,1513.32,848.88,796.92
8/22/2025,TYSON FRESH MEATS,IA-DAV,OH-CLE,602.41,2164.76,1242.29,988.5
8/22/2025,TYSON FRESH MEATS,IA-SIO,GA-ATL,1080.14,3994.13,1875.52,1539.72
8/22/2025,PurFoods,IA-DES,OH-CLE,711,2175.96,1030.74,773.61
8/22/2025,AMERICAN SUGAR REFINING INC ASR GROUP,MD-BAL,IL-CHI,728.94,1227.32,1079.97,1031.59
8/22/2025,MONSTER,MN-MIN,IA-DES,310.21,900,528.58,636.78
8/22/2025,ZOETIS C/O HUB GROUP,IA-WAT,IN-IND,479.3,1574.97,869.67,737.73
8/22/2025,ESSENTIA PROTEIN SOLUTIONS,IA-DES,IA-DES,30.04,616.83,144.08,308.49
8/22/2025,DECKER LOGISTICS,AL-MOB,IA-DES,994.48,1800,1684.28,1277.93
8/22/2025,MOLSON COORS BEVERAGE CO USA LLC,WI-MIL,IA-MC,344.12,1051.8,795.49,685.48
8/22/2025,MOLSON COORS BEVERAGE CO USA LLC,OH-CIN,SD-SIO,851.13,1843.62,1248.17,909.6
8/22/2025,MOLSON COORS BEVERAGE CO USA LLC,OH-CIN,NE-OMA,735.49,1581.75,1111.15,863.28
8/22/2025,LINEAGE LOGISTICS LLC,WA-KEN,OH-CLE,2323.45,4897.72,3640.51,2623.22
8/22/2025,Glacier Nursery,OR-POR,MT-MIS,601.08,1751.34,1162.65,1038.16
8/22/2025,KRAFT HEINZ COMPANY,ID-TWI,MN-MAN,1326.94,3470.81,2264.24,1868.28
8/22/2025,TYSON FRESH MEATS,IA-DES,AL-BIR,982.04,3801.64,1916.03,1379.23
8/22/2025,TYSON FRESH MEATS,NE-OMA,KS-WIC,302.92,1013.7,704.74,755.17
8/22/2025,KROGER KMA - RETAIL,NY-BUF,WI-MIL,697.46,1296,1147.32,1513.93
8/22/2025,KROGER KMA - RETAIL,NY-BUF,WI-MIL,696.33,1296,1147.32,885
8/22/2025,CASEYS DIST CENTER,IN-IND,IA-DES,459.38,1204.5,921.16,726.29
8/22/2025,ARRIVE LOGISTICS,WA-SEA,IA-DES,1740.4,3200,2657.94,2123.16
8/22/2025,TYSON FRESH MEATS,IA-DES,OH-CLE,861.54,2743.18,1485.32,969.52
8/22/2025,TYSON FRESH MEATS,IA-WAT,TX-HOU,1069.45,3659.4,1814.35,1325.9
8/22/2025,TYSON FRESH MEATS,IA-WAT,MO-KAN,304.46,1134.6,590.47,579.05
8/22/2025,COLGATE,OH-COL,IA-DES,747.92,1436.99,1324.55,905.24
8/22/2025,"Anheuser-Busch, Inc.",GA-ATL,MO-STL,538.2,885.76,1019.39,1164.78
8/22/2025,WALMART,WI-MIL,CO-DEN,1043.25,2376.54,1733.46,1165.12
