DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
8/30/2025,AMERICAN HONDA MOTOR HOD,TN-KNO,OH-DAY,354.99,1050.96,493.85,435.38
8/30/2025,TOYO TIRES,GA-ATL,TN-NAS,208.34,694.22,417.5,509.74
8/30/2025,AMERICAN HONDA MOTOR HOD,GA-ATL,TN-KNO,188.76,756.24,320.25,500.43
8/30/2025,AMERICAN HONDA MOTOR HOD,OH-DAY,TN-KNO,340.89,863.28,512.5,452.48
8/30/2025,PITT OHIO,OH-CIN,TN-NAS,297.44,1057.53,462.93,538.57
8/30/2025,QTG,GA-ATL,VA-WYT,395.39,959.5,549.89,556.15
8/30/2025,QTG,SC-MB,GA-ATL,340.55,802.28,615.44,555.75
8/29/2025,ARCBEST RETURNS,TN-CHT,GA-ATL,112.47,860.84,163.72,88.24
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,KY-LOU,TN-NAS,173.81,710,297.69,191.39
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,KY-LOU,TN-NAS,173.81,710,394.17,197.03
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,KY-LOU,TN-NAS,173.81,710,376.8,255.27
8/29/2025,SMURFIT WESTROCK,GA-ATL,GA-COL,138.42,686.76,246.9,175.62
8/29/2025,AMERICAN HONDA MOTOR HOD,GA-ATL,TN-KNO,237.26,973.83,785.48,258.94
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TX-DAL,LA-BAT,447.3,1133,688.85,452.6
8/29/2025,AMERICAN HONDA MOTOR HOD,AL-BIR,TN-KNO,246.43,902.4,400.53,293.86
8/29/2025,AMERICAN HONDA MOTOR HOD,GA-ATL,TN-KNO,137.46,807.68,250.82,130.38
8/29/2025,AMERICAN HONDA MOTOR HOD,GA-ATL,TN-KNO,137.46,807.68,250.82,114.71
8/29/2025,AMERICAN HONDA MOTOR HOD,GA-ATL,TN-KNO,137.46,807.68,247.82,117.03
8/29/2025,CUMMINS FILTRATION ATMUS,AL-BIR,TN-NAS,318.63,795.88,528.75,236.43
8/29/2025,PEPSI LOGISTICS COMPANY INC,TX-HOU,TX-DAL,277.12,935,438.23,183.91
8/29/2025,CUMMINS FILTRATION ATMUS,TN-NAS,OH-CIN,235.82,897.84,467.47,464.15
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-NAS,MS-JAC,301.25,835.5,540.87,301.74
8/29/2025,CH ROBINSON,AL-MON,MS-JAC,367.35,805,657.32,740.53
8/29/2025,AMERICAN HONDA MOTOR HOD,TN-KNO,AL-BIR,204.37,801.94,338.13,143.5
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-JOH,KY-LOU,324.3,1100,542.25,711.24
8/29/2025,ARCBEST RETURNS,TN-CHT,GA-ATL,112.47,860.84,261.21,254.43
8/29/2025,CUMMINS FILTRATION ATMUS,TN-NAS,OH-CIN,235.82,897.84,467.47,501.38
8/29/2025,LG CNS AMERICA INC,TN-NAS,GA-ATL,209.15,731.85,365.13,208.54
8/29/2025,AMERICAN HONDA MOTOR HOD,AL-BIR,TN-KNO,211.75,850.75,351.78,265.14
8/29/2025,AMERICAN HONDA MOTOR HOD,OH-DAY,TN-KNO,344.22,887.04,564.05,281.76
8/29/2025,AMERICAN HONDA MOTOR HOD,OH-DAY,TN-KNO,344.22,887.04,549.63,252.21
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,FL-JAC,GA-ATL,327.14,825,478.11,635.26
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,NC-CHA,GA-ATL,259.57,875,536.34,262.46
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,NC-CHA,VA-NOR,390.97,1390,633.78,483.1
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-KNO,GA-ATL,243.11,711.6,389.58,264.85
8/29/2025,CH ROBINSON,VA-HAR,FL-JAC,654.29,1350,978.89,461.61
8/29/2025,STANDARD TEXTILE,SC-GRE,OH-CIN,444.08,1036.4,803.36,763.25
8/29/2025,STANDARD TEXTILE,SC-GRE,OH-CIN,444.08,1036.4,709.17,541.68
8/29/2025,GRAINGER,SC-NCH,GA-ATL,292.53,821.06,420.65,223.67
8/29/2025,GRAINGER,NC-CHA,GA-ATL,277.6,820.23,482.95,229.95
8/29/2025,CINTAS CORPORATION,WV-CHA,AL-MON,589.91,1318.6,936.72,620.44
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,AL-MOB,AL-HUN,246.32,800,424.68,575.88
8/29/2025,AMERICAN HONDA MOTOR HOD,TN-KNO,OH-DAY,364.89,1071.84,535.11,470.98
8/29/2025,AR RECYCLING LLC,GA-ATL,AL-BIR,128.93,605,218.27,121.68
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,NC-ASH,SC-COL,177.02,780.84,334.36,398.83
8/29/2025,ARRIVE LOGISTICS,GA-SAV,AL-HUN,366.14,775,509.34,626.82
8/29/2025,ARRIVE LOGISTICS,SC-GRE,AL-HUN,370.2,865.8,553.71,710.98
8/29/2025,AR RECYCLING LLC,TN-NAS,AL-BIR,146.77,739,282.97,380.25
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-NAS,OH-CIN,285.44,1080,482.95,309.34
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,SC-MB,NC-RAL,145.14,700,323.77,211.37
8/29/2025,BLUE STAR,GA-ATL,OH-CIN,476.68,950,698.63,640.06
8/29/2025,CH ROBINSON,PA-PIT,SC-GRE,566.49,1200,936.05,866.03
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,AL-BIR,GA-ATL,206.93,770,349.14,160.71
8/29/2025,PEPSI LOGISTICS COMPANY INC,GA-ATL,KY-LEX,278.15,958.5,410.52,188.86
8/29/2025,STANLEY BLACK AND DECKER,TN-NAS,NC-CHA,423.12,1053.74,728.17,664.24
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-CHT,OH-CIN,314.12,850,518,715.75
8/29/2025,ARRIVE LOGISTICS,NC-GBO,AL-BIR,382.51,938.52,569.6,645.1
8/29/2025,CH ROBINSON,KY-LEX,GA-ATL,379.1,850,660.27,602.9
8/29/2025,ARRIVE LOGISTICS,NC-GBO,AL-BIR,382.51,901.25,597.51,685.36
8/29/2025,AMERICAN HONDA MOTOR HOD,KY-BGR,TN-KNO,235.81,965.25,423.15,204.34
8/29/2025,ARRIVE LOGISTICS,NC-GBO,GA-ATL,267.82,675,427.73,653.01
8/29/2025,ARRIVE LOGISTICS,NC-GBO,GA-ATL,268.62,675,592.83,584.59
8/29/2025,PEPSI LOGISTICS COMPANY INC,TX-HOU,GA-ATL,789.86,1271.5,1143.07,637.91
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-JOH,GA-ATL,332.94,950,570.52,365.61
8/29/2025,CUMMINS FILTRATION ATMUS,TN-NAS,OH-CIN,235.82,897.84,467.47,514.29
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-KNO,TN-NAS,211.9,900,365.39,146.93
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,NC-CHA,GA-ATL,331.88,1090,515.4,440.35
8/29/2025,PPG,AR-LIT,TX-DAL,328.96,928.36,486.42,464.53
8/29/2025,RXO,GA-ATL,AL-DOT,300.31,675,500.88,801.61
8/29/2025,PPG,AR-LIT,TX-HOU,435.83,1285.2,634.7,610.71
8/29/2025,PPG,AR-LIT,TX-HOU,435.83,1285.2,834.69,597.35
8/29/2025,GRAINGER,GA-ATL,KY-LOU,436.88,1015.78,607.45,527.54
8/29/2025,AMERICAN HONDA MOTOR HOD,TN-KNO,OH-DAY,354.99,1050.96,609.03,468.14
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,NC-CHA,GA-ATL,250.57,925,446.28,515.24
8/29/2025,CUMMINS FILTRATION ATMUS,TN-NAS,OH-CIN,239.99,909.45,487.74,587.13
8/29/2025,FISHER SCIENTIFIC,NC-RAL,GA-ATL,451.62,980.27,718.75,742.77
8/29/2025,AVRT BRIDGE (750)NORTH AMERICA,TN-JOH,MS-JAC,598.96,1500,978.38,769.52
8/29/2025,FISHER SCIENTIFIC,NC-RAL,GA-ATL,456.79,952.9,756.7,733.49
