DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
8/30/2025,SSAB IMPORTS,IL-CHI,MN-DUL,461.44,1865,977.47,972.05
8/30/2025,SONOCO,WI-APP,MN-DUL,353.81,1205.91,742.53,727.15
8/29/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-DUL,23.75,200,148.75,140.02
8/29/2025,M.E. GLOBAL INC.,MN-DUL,MN-DUL,65.76,700,217.78,157.73
8/29/2025,M.E. GLOBAL INC.,MN-DUL,MN-DUL,65.76,700,114.04,81.93
8/29/2025,CAR-DALE TRANSPORTATION LTD.,MN-BEM,MN-DUL,161.01,1200,526.75,384.63
8/29/2025,GENESIS ATTACHMENTS,MN-DUL,MN-DUL,1,150,1930.44,1767.85
8/29/2025,MENARD INC,WI-EAU,MN-DUL,221.19,765.9,360.05,394.78
8/29/2025,BUCHANAN LOGISTICS INC.,IN-GAR,MI-DET,236.17,800,701.9,931.46
8/29/2025,OLYMPIC STEEL,MN-MIN,MN-DUL,162.99,650,395.91,346.36
8/29/2025,ROEN SALVAGE CO,MN-DUL,WI-APP,301.21,1950,968.73,774.21
8/29/2025,LOUISIANA-PACIFIC CORPORATION,IL-CHI,MN-MIN,429.72,1304.76,926.25,1276.66
8/29/2025,"AMES CONSTRUCTION, INC",MN-DUL,ND-FAR,271.8,1725,453.17,238.71
8/29/2025,"AMES CONSTRUCTION, INC",MN-DUL,MN-MIN,170.91,900,277.7,381.31
8/29/2025,"AMES CONSTRUCTION, INC",MN-MIN,ND-GRA,425.31,2445,733.38,642.93
8/29/2025,LIFTPRO INTERNATIONAL,MN-DUL,TX-SAG,1193.85,3995,2099.35,1211.14
8/29/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-MAN,213.27,695,356.12,437.99
8/29/2025,LAKE SUPERIOR WAREHOUSE,MN-DUL,MN-MAN,213.27,695,345.72,424.29
8/29/2025,FALVEY STEEL CASTINGS INC,MN-DUL,WI-MAR,242.06,1500,407.01,454.51
8/29/2025,SHARK LOGISTICS INC.,MA-BOS,KY-LOU,1033.77,1100,1725.76,724.81
8/29/2025,LOUISIANA-PACIFIC CORPORATION,AL-BIR,IA-CED,832.64,2463.18,1990.12,1506.15
8/29/2025,CATERPILLAR FREIGHT PAYABLE,MD-BAL,IL-SPR,765.87,2633.27,1274.98,1135.22
8/29/2025,"LEAGUE LOGISTICS, LLC",PA-PIT,KY-LOU,405.39,1600,1055.05,1342.84
8/29/2025,CATERPILLAR FREIGHT PAYABLE,GA-ATL,AL-HUN,269.39,2103.81,961.28,1192.59
8/29/2025,THE OKONITE COMPANY,MA-BOS,TX-ODE,2292.72,7113.16,3738.37,1896.03
8/29/2025,THE OKONITE COMPANY,SC-COL,MN-MIN,1344.89,4170.32,2694.45,1747.91
8/29/2025,LOUISIANA-PACIFIC CORPORATION,NY-ROC,MN-MIN,1059.2,3022.28,1704.29,1182.26
8/29/2025,LOUISIANA-PACIFIC CORPORATION,NY-ROC,MN-MIN,1059.2,3022.28,1864.55,1496.56
8/29/2025,LOUISIANA-PACIFIC CORPORATION,NY-ROC,MN-MIN,1059.2,3022.28,1704.29,1233.5
8/29/2025,LOUISIANA-PACIFIC CORPORATION,NY-ROC,MN-MIN,1059.2,3022.28,1704.29,1326.27
8/29/2025,NUCOR BRANDENBURG,KY-LOU,WI-EAU,707.4,2793.92,1218.45,1131.18
8/29/2025,CATERPILLAR FREIGHT PAYABLE,IL-PEO,TX-DAL,842.77,2895.19,1668.43,1328.65
8/29/2025,GENESIS ATTACHMENTS,MN-DUL,AL-BIR,1539.9,4532.26,2652.4,1804.98
8/29/2025,SSAB IMPORTS,IL-CHI,MN-DUL,502.62,1965,1101.46,726.54
8/29/2025,SSAB IMPORTS,IL-CHI,MN-MIN,531.87,2025,946.95,787.25
8/29/2025,SSAB IMPORTS,IL-CHI,ND-FAR,645.58,2725,1092,1292.28
8/29/2025,BENDTEC INC.,MN-DUL,MD-BAL,1171.32,4250,1888.76,1970.49
8/29/2025,CATERPILLAR FREIGHT PAYABLE,GA-SAV,WI-MIL,1237.72,4817.23,2530.7,1797.11
8/29/2025,THE OKONITE COMPANY,KY-LEX,MA-BOS,1056.67,3751.18,1971.8,1364.09
