DELIVERY_DT,BILLTO_NAME,ORIG_AREA,DEST_AREA,LOADED_OP_MILES,TOTAL_REVENUE,TOTAL_VARIABLE_COST,TOTAL_OVERHEAD_COST
8/26/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1241.29,629.48,482.59
8/26/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,FL-MIA,1490.45,4474.5,2428.91,1797.11
8/26/2025,LEGGETT & PLATT INC,MO-JOP,WA-SEA,2039.96,5496.36,3146.59,2112.56
8/26/2025,M S W INC,MO-JOP,VA-ROA,1024.34,3004.92,1598.02,1031.99
8/26/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,425.49,1242.28,648.35,472.46
8/25/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1244.46,835.46,492.67
8/25/2025,RYAN TRANSPORTATION,TX-LUB,AR-FAY,662.47,1050,1108.07,476.18
8/25/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1244.46,835.46,745.26
8/25/2025,C H ROBINSON WORLDWIDE,LA-SHR,MO-SPR,502.43,990,957.96,831.06
8/25/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,WA-SEA,OK-TUL,2100.36,3150,3325.81,2336.15
8/25/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,FL-MIA,1502.52,4505.42,2451.97,1473.98
8/25/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,IN-ELK,737.23,2128.35,1291.66,809.55
8/25/2025,M S W INC,MO-JOP,TX-HOU,615.84,1976.48,977.02,972.62
8/25/2025,M S W INC,MO-JOP,GA-MAC,895.51,2542.32,1507.23,1429.12
8/24/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,455.25,1213.04,855.44,839.9
8/22/2025,DEDICATED LOGISTICAL SERVICE,TX-ELP,TX-LUB,345.28,900,549.07,557.22
8/22/2025,AMERIFREIGHT SYSTEMS LLC,TX-DAL,MO-JOP,380.02,700,667.62,370.21
8/22/2025,ACTION ENTERPRISE LOGISTICS,MI-LAN,MO-SPR,729.41,1500,1204.28,722.63
8/22/2025,LEGGETT & PLATT INC,IN-GAR,MO-JOP,618.09,1414.5,1018.3,640.82
8/22/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,LA-LAF,458.74,1399.83,720.37,585.68
8/22/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1238.98,629.48,402.62
8/21/2025,BATLINER PAPERSTOCK - RECYCLING,MO-JOP,OK-TUL,73.95,525.64,122.04,174.71
8/21/2025,PRIORITY 1 INC,KY-LOU,AR-FAY,626.74,1150,1186.66,750.1
8/21/2025,AXLE LOGISTICS LLC,NC-CHA,MO-JOP,954.4,1750,1608.47,1139
8/21/2025,"TRAFFIC TECH, INC.",NV-LAS,MO-SPR,1409.52,3000,2326.84,919.87
8/21/2025,PAPERWORKS C/O TRANZACT,NE-KEA,MO-JOP,445.4,1244.46,835.46,466.88
8/21/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,OH-CLE,GA-ATL,689.89,1350,1176.09,755.45
8/21/2025,TAMKO BUILDING PRODUCTS INC,KS-WIC,MO-JOP,260.64,1100,991.06,881.55
8/21/2025,MODE TRANSPORTATION,NJ-NEW,OK-TUL,1329.96,2300,2058.94,1808.95
8/21/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,IN-ELK,737.23,2128.35,1183.18,715.28
8/21/2025,M S W INC,MO-JOP,TX-DAL,369.35,1067.94,607.3,559.91
8/21/2025,GREENHECK FAN C/O ECHO LOGISTICS,OK-TUL,MI-LAN,867.68,2511.98,1451.66,1166.99
8/21/2025,M S W INC,MO-JOP,TX-ELP,935.79,3790.2,1468.4,1066.64
8/20/2025,ECHO GLOBAL LOGISTICS INC,OK-OKC,MO-SPR,328.64,1250,697.47,621.71
8/20/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,TX-DAL,MO-JOP,363.86,800,598.68,339.08
8/20/2025,AXLE LOGISTICS LLC,VA-RIC,MO-SPR,1083.19,1750,1814.21,1171.98
8/20/2025,M S W INC,MO-JOP,KY-LEX,723.44,2049.49,1112.49,599.54
8/20/2025,M S W INC,MO-JOP,CO-CS,718.35,2484.12,1137.84,884.18
8/20/2025,TAMKO BUILDING PRODUCTS INC,MO-JOP,KS-SAL,410.79,1236.54,742.57,359.21
8/19/2025,LANDSTAR GLOBAL LOGISTICS,MS-JAC,OK-TUL,466.54,1600,839.3,455.89
8/19/2025,ACME BRICK CO,OK-TUL,MO-JOP,114.96,525,475.03,239.51
8/19/2025,ACME BRICK CO,OK-OKC,MO-SPR,281.37,675,850.35,595.32
8/19/2025,ARRIVE LOGISTICS AKA DM TRANS LLC,GA-ATL,MO-JOP,761.39,1325,1196.57,650.28
8/19/2025,RGL SPECIALTY SERVICES LLC DBA RGL,WI-APP,MO-JOP,727.36,1600,1139.17,712.52
